date,open,high,low,close,volume
2022-01-04,37.75,39.57,36.97,37.76,940200.0
2022-01-05,37.75,38.29,35.14,35.85,1007300.0
2022-01-06,35.82,38.23,34.86,37.27,932100.0
2022-01-07,37.25,37.66,35.32,36.74,960800.0
2022-01-10,36.59,38.33,34.85,36.99,956800.0
2022-01-11,37.79,37.79,35.36,36.63,816300.0
2022-01-12,36.63,39.4,36.63,36.97,798600.0
2022-01-13,36.2,37.05,34.81,35.09,749300.0
2022-01-14,34.51,37.42,34.36,34.76,956400.0
2022-01-17,33.92,35.66,33.21,34.76,528600.0
2022-01-18,34.93,36.72,34.46,36.38,859100.0
2022-01-19,36.53,36.53,33.67,34.24,871200.0
2022-01-20,33.88,35.84,33.04,34.37,1036800.0
2022-01-21,34.24,35.48,33.17,34.82,754700.0
2022-01-24,34.55,36.57,33.88,35.95,673600.0
2022-01-25,36.38,36.38,32.3,33.09,1980800.0
2022-01-26,32.28,34.04,31.81,33.02,900800.0
2022-01-27,32.5,34.4,32.47,32.65,1058800.0
2022-01-28,32.63,34.38,30.85,33.88,2151800.0
2022-02-07,34.12,34.6,31.81,32.71,768100.0
2022-02-08,32.85,33.0,31.21,32.02,601600.0
2022-02-09,31.79,32.06,30.68,31.39,902900.0
2022-02-10,31.67,31.74,29.82,30.18,1139400.0
2022-02-11,30.38,30.38,28.79,28.96,1517600.0
2022-02-14,28.74,30.27,28.6,29.61,1015200.0
2022-02-15,28.78,31.03,28.78,30.54,791500.0
2022-02-16,31.0,31.43,30.22,30.71,652300.0
2022-02-17,30.71,32.17,30.55,31.93,669400.0
2022-02-18,31.71,33.06,31.27,32.85,724100.0
2022-02-21,33.21,33.67,32.57,33.42,507100.0
2022-02-22,33.42,33.42,32.23,32.91,404800.0
2022-02-23,32.53,35.74,32.53,35.09,752900.0
2022-02-24,35.02,35.58,33.88,34.06,586600.0
2022-02-25,35.24,36.38,34.44,35.67,869600.0
2022-02-28,35.34,36.45,34.45,35.17,605200.0
2022-03-01,35.34,35.46,34.11,34.45,515000.0
2022-03-02,34.89,34.89,33.55,33.89,470300.0
2022-03-03,34.26,34.26,32.21,32.35,797200.0
2022-03-04,32.25,32.43,31.04,32.1,1052700.0
2022-03-07,31.75,32.1,30.13,30.91,1207300.0
2022-03-08,31.4,31.4,29.68,29.96,968400.0
2022-03-09,29.8,31.62,29.8,31.09,1217900.0
2022-03-10,32.14,32.62,31.32,31.39,837000.0
2022-03-11,31.13,32.07,30.49,31.47,685200.0
2022-03-14,31.7,32.33,29.72,29.72,550100.0
2022-03-15,29.76,30.68,28.66,28.66,892900.0
2022-03-16,29.17,30.62,27.05,30.2,1104100.0
2022-03-17,30.24,32.14,30.18,31.7,778300.0
2022-03-18,31.43,31.94,30.15,30.64,525600.0
2022-03-21,30.63,30.64,29.65,30.64,377900.0
2022-03-22,30.61,30.61,29.29,29.5,501300.0
2022-03-23,29.85,29.85,28.9,29.48,272300.0
2022-03-24,29.23,29.48,28.04,28.54,497100.0
2022-03-25,28.65,29.71,28.36,28.65,444700.0
2022-03-28,28.19,28.64,27.25,27.69,498400.0
2022-03-29,28.0,28.19,26.68,27.22,625500.0
2022-03-30,27.69,28.86,27.5,28.49,508400.0
2022-03-31,28.19,29.25,27.54,28.12,640000.0
2022-04-01,27.69,27.93,26.98,27.86,594200.0
2022-04-06,26.97,28.28,26.62,26.96,852100.0
2022-04-07,26.84,27.08,25.36,25.94,1010000.0
2022-04-08,25.34,25.97,24.67,25.49,1464100.0
2022-04-11,25.51,25.74,24.09,24.29,639800.0
2022-04-12,24.5,24.95,23.96,24.34,719800.0
2022-04-13,24.58,24.58,23.38,23.63,773600.0
2022-04-14,24.06,24.7,23.72,24.13,562200.0
2022-04-15,23.34,24.54,22.5,23.56,1211000.0
2022-04-18,23.2,24.61,22.63,24.01,651200.0
2022-04-19,24.18,24.68,23.03,23.06,441500.0
2022-04-20,23.37,23.56,22.33,22.69,378700.0
2022-04-21,22.32,23.13,21.34,21.42,446700.0
2022-04-22,21.07,21.59,20.36,20.52,923800.0
2022-04-25,20.2,20.22,18.58,18.71,1344900.0
2022-04-26,18.71,19.08,17.21,17.36,1242500.0
2022-04-27,17.51,19.6,16.67,19.34,1803000.0
2022-04-28,19.67,19.67,18.6,18.84,955200.0
2022-04-29,19.11,20.67,18.75,20.25,959200.0
2022-05-05,20.57,21.6,19.65,21.42,835400.0
2022-05-06,20.84,21.26,20.27,20.28,610300.0
2022-05-09,20.21,21.2,19.72,20.42,791600.0
2022-05-10,19.68,21.64,19.64,21.4,771700.0
2022-05-11,21.27,23.43,21.24,22.39,1063600.0
2022-05-12,22.01,22.59,21.49,22.15,655800.0
2022-05-13,22.39,22.49,21.27,21.97,806400.0
2022-05-16,22.3,22.69,21.62,21.83,537400.0
2022-05-17,21.83,22.24,21.1,21.89,511500.0
2022-05-18,22.11,23.38,22.11,22.71,843100.0
2022-05-19,22.17,23.31,22.17,22.97,642900.0
2022-05-20,23.21,23.56,22.75,23.42,452800.0
2022-05-23,23.38,24.55,22.56,23.99,775600.0
2022-05-24,23.85,24.43,22.24,22.38,790400.0
2022-05-25,22.56,23.97,22.56,22.77,533200.0
2022-05-26,22.5,23.13,21.83,23.06,565000.0
2022-05-27,23.24,24.13,22.81,23.3,350400.0
2022-05-30,23.03,23.77,22.62,23.43,361400.0
2022-05-31,22.88,25.58,22.88,25.48,801700.0
2022-06-01,25.41,26.58,25.21,26.13,610700.0
2022-06-02,26.12,27.41,25.56,26.87,561100.0
2022-06-06,26.88,28.54,26.88,28.0,813400.0
2022-06-07,27.88,28.4,26.28,26.57,605300.0
2022-06-08,26.57,27.76,26.27,27.0,462400.0
2022-06-09,26.64,27.34,25.64,26.08,382800.0
2022-06-10,26.42,26.42,25.2,25.98,813000.0
2022-06-13,25.63,26.78,25.61,26.56,524300.0
